"Reference","Qty","Value","MPN","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","10n","GRM155R71C103KA01D","","","","Capacitor_SMD:C_0402_1005Metric",""
"C4","1","100n","CL05B104KP5NNNC","","","","Capacitor_SMD:C_0402_1005Metric",""
"J1,J2","2","JST SH","SM05B-SRSS-TB","","","","Connector_JST:JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",""
"J4","1","JST SH","SM03B-SRSS-TB","","","","Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",""
"Q1,Q2,Q3","3","Q_NMOS_GSD","RE1C002UN","","","","Package_TO_SOT_SMD:SOT-416","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/re1c002untcl-e.pdf"
"R1,R3,R5","3","100","RC0402FR-07100RL","","","","Resistor_SMD:R_0402_1005Metric",""
"R2,R4,R6","3","220","RC0402FR-07220RL","","","","Resistor_SMD:R_0402_1005Metric",""
"U1,U3,U4","3","GP2S700HCP","GP2S700HCP","","","","custom:Sharp_GP2S700HCP","https://www.sharpsde.com/fileadmin/products/Optoelectronics/Isolation%20Devices/Specs_Photointerrupter/GP2S700HCP_03Oct05_DS_D3-A02201FEN.pdf"
"U2","1","ATtiny204-SS","ATtiny204-SS","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/50002687A.pdf"
